800	1160	2600	a
820	1200	2250	a
660	1400	2540	a
860	1500	2580	a
780	1300	2700	a
800	1220	2280	a
740	1200	2550	a
960	1300	2640	a
800	1250	2650	a
800	1400	2900	a
840	1400	2500	a
800	1220	2380	a
600	1300	2600	a
800	1320	2540	a
940	1520	3040	a
780	1300	2840	a
880	1400	2660	a
740	1300	2660	a
780	1300	2400	a
840	1180	2700	a
940	1300	2780	a
700	1220	2760	a
820	1340	2200	a
660	1260	2540	a
820	1460	2760	a
640	1280	2340	a
900	1500	3020	a
840	1300	2280	a
800	1260	2740	a
640	1250	2480	a
700	1240	2460	a
860	1300	2660	a
880	1240	2400	a
900	1560	2860	a
740	1200	2360	a
820	1300	2760	a
660	1220	2500	a
700	1280	2500	a
800	1100	2300	a
700	1200	2580	a
900	1440	2600	a
860	1420	2420	a
840	1200	2500	a
660	1000	2500	a
780	1300	2460	a
780	1140	2740	a
700	1420	2680	a
820	1420	2180	a
760	1260	2620	a
1100	1480	2260	a
480	900	2500	o
460	920	2360	o
460	860	2600	o
540	960	2460	o
550	1000	2480	o
450	900	2700	o
520	960	2200	o
500	900	2600	o
440	820	2540	o
520	840	2040	o
460	940	2400	o
500	920	2400	o
420	860	2420	o
580	1040	2960	o
460	1020	2700	o
500	940	2500	o
460	920	3300	o
420	760	2440	o
440	1220	2580	o
500	860	2440	o
520	920	2600	o
460	840	1840	o
500	900	2320	o
420	820	2480	o
440	860	2860	o
460	860	2200	o
580	1060	2300	o
440	840	2480	o
420	700	2440	o
460	900	2520	o
560	1000	2480	o
540	940	2640	o
560	980	2360	o
450	900	2460	o
500	920	2120	o
460	800	2620	o
520	940	2580	o
500	940	2420	o
500	940	2500	o
440	850	2600	o
480	960	2140	o
460	1060	2380	o
500	840	2460	o
460	860	2460	o
540	860	2600	o
480	820	2280	o
520	940	2560	o
500	920	2520	o
500	1080	2500	o
500	740	2700	o
400	700	2600	u
440	780	2600	u
370	900	2230	u
280	740	2160	u
360	860	2460	u
260	700	2550	u
400	800	2500	u
360	900	2140	u
360	880	2320	u
400	960	2400	u
320	760	2080	u
400	820	2200	u
260	800	2400	u
320	860	2380	u
320	760	2480	u
320	630	2560	u
340	720	2500	u
280	860	2340	u
360	740	2160	u
420	800	2400	u
300	760	1900	u
360	820	2220	u
320	830	2060	u
280	1040	2340	u
340	780	2020	u
340	660	2320	u
300	700	2100	u
360	780	2320	u
300	900	2140	u
320	1000	2220	u
400	860	2700	u
260	780	2460	u
360	760	2300	u
280	740	2500	u
340	740	2240	u
320	840	2360	u
360	900	2220	u
360	800	2120	u
300	900	2300	u
300	840	3060	u
320	880	2200	u
300	680	2400	u
300	680	1920	u
360	900	2200	u
360	860	2200	u
400	780	2500	u
300	760	2020	u
360	800	2540	u
360	860	2520	u
440	880	2300	u
